"","Gebruiksdoel","Type","Hoofdadres","ID","Oppervlakte","MaaktDeelUitVan","x_coordinate","y_coordinate"
"1","woonfunctie","Verblijfsobject","0363200000474064","0363010000994903",168,"0363100012082525",124932,487393
"2","woonfunctie","Verblijfsobject","0363200000474252","0363010000987018",125,"0363100012115636",125049,487231
"3","woonfunctie","Verblijfsobject","0363200000461700","0363010000959682",239,"0363100012107928",125145,487521
"4","woonfunctie","Verblijfsobject","0363200000474132","0363010000995725",139,"0363100012127796",124845,487420
"5","woonfunctie","Verblijfsobject","0363200000475495","0363010000993809",168,"0363100012101842",124767,487321
"6","woonfunctie","Verblijfsobject","0363200000461758","0363010000959664",133,"0363100012136192",125094,487541
"7","woonfunctie","Verblijfsobject","0363200000461840","0363010000981252",111,"0363100012094438",124954,487462
"8","woonfunctie","Verblijfsobject","0363200000461662","0363010000985320",68,"0363100012068864",125140,487431
"9","woonfunctie","Verblijfsobject","0363200000461663","0363010000985321",79,"0363100012126380",125136,487430
"10","woonfunctie","Verblijfsobject","0363200000470953","0363010000987064",120,"0363100012127258",124784,487169
"11","woonfunctie","Verblijfsobject","0363200000470954","0363010000987065",120,"0363100012122220",124792,487168
"12","woonfunctie","Verblijfsobject","0363200000470964","0363010000987075",120,"0363100012095548",124826,487174
"13","woonfunctie","Verblijfsobject","0363200000470965","0363010000987076",120,"0363100012095548",124825,487176
"14","woonfunctie","Verblijfsobject","0363200000470966","0363010000987077",120,"0363100012093111",124833,487176
"15","woonfunctie","Verblijfsobject","0363200000473554","0363010000987355",92,"0363100012086724",124964,487211
"16","woonfunctie","Verblijfsobject","0363200000473578","0363010000987377",92,"0363100012086724",124964,487211
"17","woonfunctie","Verblijfsobject","0363200000473582","0363010000987388",92,"0363100012086724",124964,487211
"18","woonfunctie","Verblijfsobject","0363200000473703","0363010000987430",87,"0363100012086724",124998,487177
"19","woonfunctie","Verblijfsobject","0363200000473663","0363010000987570",92,"0363100012086724",125005,487195
"20","woonfunctie","Verblijfsobject","0363200000473672","0363010000987571",92,"0363100012086724",125005,487195
"21","woonfunctie","Verblijfsobject","0363200000473673","0363010000987572",92,"0363100012086724",125005,487195
"22","woonfunctie","Verblijfsobject","0363200000474161","0363010000987573",140,"0363100012148863",124706,487395
"23","woonfunctie","Verblijfsobject","0363200000473671","0363010000987575",92,"0363100012086724",125005,487195
"24","woonfunctie","Verblijfsobject","0363200000474727","0363010000989591",150,"0363100012113204",125071,487168
"25","woonfunctie","Verblijfsobject","0363200000473573","0363010000991239",96,"0363100012086724",124964,487211
"26","kantoorfunctie","Verblijfsobject","0363200000473650","0363010000991250",92,"0363100012086724",124980,487230
"27","kantoorfunctie","Verblijfsobject","0363200000473651","0363010000991251",83,"0363100012086724",124994,487223
"28","kantoorfunctie","Verblijfsobject","0363200000473652","0363010000991252",209,"0363100012086724",125007,487215
"29","woonfunctie","Verblijfsobject","0363200000473700","0363010000991274",97,"0363100012086724",125005,487195
"30","woonfunctie","Verblijfsobject","0363200000474029","0363010000992425",89,"0363100012067609",124768,487348
"31","woonfunctie","Verblijfsobject","0363200000473984","0363010000993403",89,"0363100012098458",124971,487384
"32","woonfunctie","Verblijfsobject","0363200000475459","0363010000994935",110,"0363100012098458",125027,487372
"33","woonfunctie","Verblijfsobject","0363200000474191","0363010000995745",113,"0363100012127796",124812,487431
"34","woonfunctie","Verblijfsobject","0363200000474192","0363010000995746",132,"0363100012127796",124812,487430
"35","woonfunctie","Verblijfsobject","0363200000474193","0363010000995747",156,"0363100012127796",124812,487428
"36","woonfunctie","Verblijfsobject","0363200000478438","0363010000996721",87,"0363100012111967",124680,487185
"37","kantoorfunctie","Verblijfsobject","0363200000480313","0363010000997158",1,"0363100012103406",124931,487513
"38","kantoorfunctie","Verblijfsobject","0363200000480314","0363010000997159",454,"0363100012103406",124931,487512
"39","woonfunctie","Verblijfsobject","0363200000481150","0363010000997306",72,"0363100012076936",124677,487367
"40","woonfunctie","Verblijfsobject","0363200000481151","0363010000997307",72,"0363100012076936",124677,487367
"41","woonfunctie","Verblijfsobject","0363200000481163","0363010000997698",72,"0363100012076936",124677,487367
"42","woonfunctie","Verblijfsobject","0363200000478396","0363010000999520",80,"0363100012141827",124745,487187
"43","woonfunctie","Verblijfsobject","0363200000478397","0363010000999521",84,"0363100012081194",124745,487182
"44","woonfunctie","Verblijfsobject","0363200000478398","0363010000999522",84,"0363100012110058",124747,487174
"45","woonfunctie","Verblijfsobject","0363200000474036","0363010000994690",70,"0363100012064891",124746,487346
"46","gezondheidszorgfunctie","Verblijfsobject","0363200000387105","0363010000959563",35,"0363100012136192",125123,487546
"47","woonfunctie","Verblijfsobject","0363200000461877","0363010000982796",108,"0363100012114572",125008,487449
"48","woonfunctie","Verblijfsobject","0363200000478542","0363010000994698",185,"0363100012098458",124961,487355
"49","woonfunctie","Verblijfsobject","0363200000473985","0363010000993404",133,"0363100012098458",124967,487384
"50","woonfunctie","Verblijfsobject","0363200000461643","0363010000984372",178,"0363100012063237",125040,487437
"51","woonfunctie","Verblijfsobject","0363200000461797","0363010000982748",192,"0363100012101390",125148,487496
"52","woonfunctie","Verblijfsobject","0363200000461785","0363010000957346",111,"0363100012095101",124961,487517
"53","woonfunctie","Verblijfsobject","0363200000474146","0363010000987601",116,"0363100012104240",124773,487407
"54","woonfunctie","Verblijfsobject","0363200000474183","0363010000986331",128,"0363100012105248",124702,487420
"55","woonfunctie","Verblijfsobject","0363200000473991","0363010000993410",144,"0363100012098458",124942,487379
"56","woonfunctie","Verblijfsobject","0363200000474019","0363010000992415",143,"0363100012150507",124809,487356
"57","woonfunctie","Verblijfsobject","0363200000474018","0363010000992414",136,"0363100012147415",124814,487356
"58","woonfunctie","Verblijfsobject","0363200000474140","0363010000986215",1,"0363100012065766",124799,487412
"59","woonfunctie","Verblijfsobject","0363200000473989","0363010000993408",145,"0363100012098458",124950,487381
"60","woonfunctie","Verblijfsobject","0363200000474006","0363010000992437",132,"0363100012098434",124864,487366
"61","woonfunctie","Verblijfsobject","0363200000474007","0363010000992438",146,"0363100012098434",124860,487365
"62","woonfunctie","Verblijfsobject","0363200000473986","0363010000993405",137,"0363100012098458",124963,487383
"63","woonfunctie","Verblijfsobject","0363200000473996","0363010000993415",138,"0363100012098458",124921,487376
